Iteration	Avg_Reward	Packet_Loss_Ratio	Avg_Loss
1000	0.6220	0.8235	0.120221
2000	0.6240	0.8254	0.114329
3000	0.6583	0.8128	0.116553
4000	0.6895	0.8040	0.119152
5000	0.7310	0.7908	0.122518
6000	0.7638	0.7777	0.126231
7000	0.7906	0.7675	0.129761
8000	0.8200	0.7559	0.132566
9000	0.8527	0.7429	0.135732
10000	0.8785	0.7329	0.138679
11000	0.9017	0.7246	0.143296
12000	0.9222	0.7160	0.146583
13000	0.9415	0.7090	0.149734
14000	0.9641	0.7000	0.153093
15000	0.9839	0.6927	0.156432
16000	1.0026	0.6857	0.159517
17000	1.0191	0.6794	0.162774
18000	1.0362	0.6732	0.165771
19000	1.0493	0.6682	0.168650
20000	1.0638	0.6633	0.171423
21000	1.0770	0.6584	0.174919
22000	1.0894	0.6533	0.177502
23000	1.0993	0.6496	0.180104
24000	1.1127	0.6448	0.182561
25000	1.1225	0.6412	0.185064
26000	1.1313	0.6383	0.187206
27000	1.1423	0.6340	0.189367
28000	1.1508	0.6306	0.191471
29000	1.1590	0.6276	0.193448
30000	1.1688	0.6241	0.195374
31000	1.1763	0.6210	0.197690
32000	1.1827	0.6185	0.199406
33000	1.1894	0.6159	0.201103
34000	1.1953	0.6140	0.202759
35000	1.2019	0.6114	0.204226
36000	1.2078	0.6091	0.205688
37000	1.2139	0.6070	0.207057
38000	1.2197	0.6048	0.208427
39000	1.2252	0.6032	0.209695
40000	1.2294	0.6014	0.210885
41000	1.2347	0.5993	0.212378
42000	1.2392	0.5974	0.213473
43000	1.2432	0.5958	0.214581
44000	1.2469	0.5945	0.215680
45000	1.2502	0.5930	0.216778
46000	1.2536	0.5916	0.217813
47000	1.2567	0.5904	0.218781
48000	1.2600	0.5888	0.219636
49000	1.2634	0.5877	0.220574
50000	1.2666	0.5862	0.221438
51000	1.2696	0.5851	0.222540
52000	1.2727	0.5839	0.223269
53000	1.2757	0.5829	0.223945
54000	1.2778	0.5822	0.224649
55000	1.2798	0.5816	0.225271
56000	1.2826	0.5808	0.225888
57000	1.2852	0.5798	0.226505
58000	1.2874	0.5787	0.227049
59000	1.2896	0.5777	0.227640
60000	1.2915	0.5769	0.228196
61000	1.2929	0.5763	0.229080
62000	1.2956	0.5754	0.229636
63000	1.2982	0.5745	0.230219
64000	1.3002	0.5738	0.230829
65000	1.3018	0.5733	0.231395
66000	1.3027	0.5729	0.231936
67000	1.3044	0.5721	0.232392
68000	1.3060	0.5715	0.232857
69000	1.3072	0.5712	0.233284
70000	1.3093	0.5705	0.233684
71000	1.3114	0.5698	0.234354
72000	1.3123	0.5693	0.234781
73000	1.3137	0.5688	0.235179
74000	1.3151	0.5684	0.235563
75000	1.3163	0.5678	0.235871
76000	1.3183	0.5671	0.236220
77000	1.3199	0.5666	0.236588
78000	1.3213	0.5660	0.236979
79000	1.3223	0.5656	0.237327
80000	1.3231	0.5652	0.237676
81000	1.3242	0.5647	0.238176
82000	1.3253	0.5642	0.238485
83000	1.3266	0.5637	0.238770
84000	1.3279	0.5633	0.239083
85000	1.3290	0.5629	0.239396
86000	1.3294	0.5627	0.239684
87000	1.3302	0.5622	0.239913
88000	1.3317	0.5616	0.240163
89000	1.3329	0.5612	0.240399
